City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
505,Umm Lajj,SA,25.0213,37.2685,85.69,54,42,9.24,scattered clouds,2021-06-21 16:53:32
506,Orbetello,IT,42.4408,11.2196,87.62,73,20,14.97,few clouds,2021-06-21 16:53:33
507,Bambanglipuro,ID,-7.95,110.2833,58.6,91,99,2.64,moderate rain,2021-06-21 16:53:33
508,Brus,RS,43.3836,21.0336,81.52,86,62,7.07,moderate rain,2021-06-21 16:53:33
509,Sampit,ID,-2.5333,112.95,73.42,97,100,1.97,light rain,2021-06-21 16:53:34
510,Komsomolskiy,UZ,40.4272,71.7189,83.12,16,0,6.91,clear sky,2021-06-21 16:53:34
511,Kralendijk,BQ,12.15,-68.2667,80.85,83,56,21.21,broken clouds,2021-06-21 16:53:35
512,Tigil,RU,57.8,158.6667,43.74,87,100,3.4,overcast clouds,2021-06-21 16:53:35
513,Polovinnoye,RU,54.7914,65.9864,56.3,71,93,6.89,overcast clouds,2021-06-21 16:53:35
514,Baykit,RU,61.67,96.37,59.88,96,91,2.75,light rain,2021-06-21 16:53:36
515,Acajutiba,BR,-11.6622,-38.0172,81.48,68,57,7.16,broken clouds,2021-06-21 16:53:36
516,Magdagachi,RU,53.45,125.8,56.55,95,81,2.3,light rain,2021-06-21 16:53:36
517,Verkhoyansk,RU,67.5447,133.385,61.05,49,10,5.06,clear sky,2021-06-21 16:53:37
518,Barcelona,ES,41.3888,2.159,86.18,56,20,7.0,few clouds,2021-06-21 16:52:52
519,Peterlee,GB,54.7603,-1.3365,58.98,60,95,5.01,overcast clouds,2021-06-21 16:53:37
520,Inhambane,MZ,-23.865,35.3833,69.78,73,20,5.99,few clouds,2021-06-21 16:53:38
521,Goma,CD,-1.6792,29.2228,63.68,85,83,2.17,light rain,2021-06-21 16:53:38
522,Maneadero,MX,31.7167,-116.5667,64.09,87,14,1.01,few clouds,2021-06-21 16:53:38
523,Rio Claro,BR,-22.4114,-47.5614,80.78,39,66,2.15,broken clouds,2021-06-21 16:53:39
524,Narrabri,AU,-30.3167,149.7833,48.29,81,0,12.66,clear sky,2021-06-21 16:53:39
525,Beringovskiy,RU,63.05,179.3167,42.94,72,84,13.11,broken clouds,2021-06-21 16:53:40
526,Wanning,CN,18.8003,110.3967,82.47,88,99,12.66,overcast clouds,2021-06-21 16:53:40
527,Jaguaquara,BR,-13.5306,-39.9708,83.52,39,15,6.51,few clouds,2021-06-21 16:53:41
528,Marrakesh,MA,31.6315,-8.0083,87.87,33,0,5.75,clear sky,2021-06-21 16:53:41
529,Murray Bridge,AU,-35.1167,139.2667,55.44,66,100,9.44,overcast clouds,2021-06-21 16:53:41
530,Bud,US,39.447,-86.1758,77.31,74,95,16.71,overcast clouds,2021-06-21 16:53:42
531,Nador,MA,35.174,-2.9287,78.87,53,0,16.11,clear sky,2021-06-21 16:53:42
532,Songea,TZ,-10.6833,35.65,62.28,70,100,2.73,overcast clouds,2021-06-21 16:53:42
533,Maputo,MZ,-25.9653,32.5892,67.23,77,20,5.75,few clouds,2021-06-21 16:53:43
534,Cabra,ES,37.4725,-4.4421,80.04,26,0,12.5,clear sky,2021-06-21 16:53:43
535,Prince Rupert,CA,54.3161,-130.3201,57.29,97,90,3.44,overcast clouds,2021-06-21 16:50:46
536,Ahipara,NZ,-35.1667,173.1667,58.19,77,40,17.96,scattered clouds,2021-06-21 16:53:44
537,Cascais,PT,38.6979,-9.4215,69.98,68,40,5.99,scattered clouds,2021-06-21 16:53:44
538,Sabang,ID,5.8933,95.3214,83.01,74,55,25.37,broken clouds,2021-06-21 16:53:45
539,Lompoc,US,34.6391,-120.4579,60.94,91,90,3.44,light intensity drizzle,2021-06-21 16:53:45
540,Rio Gallegos,AR,-51.6226,-69.2181,42.85,75,75,16.11,broken clouds,2021-06-21 16:53:37
541,Surin,TH,14.8818,103.4936,79.9,80,100,14.07,overcast clouds,2021-06-21 16:53:46
542,Moguer,ES,37.2756,-6.8385,74.88,52,4,11.01,clear sky,2021-06-21 16:53:46
543,Wewak,PG,-3.5534,143.6268,78.57,85,100,8.68,overcast clouds,2021-06-21 16:53:46
544,Lolodorf,CM,3.2333,10.7333,71.28,97,100,4.92,heavy intensity rain,2021-06-21 16:53:47
545,Yumen,CN,40.2833,97.2,72.63,27,94,13.4,overcast clouds,2021-06-21 16:53:47
546,George,ZA,-33.963,22.4617,74.75,25,0,9.22,clear sky,2021-06-21 16:53:48
547,Coihaique,CL,-45.5752,-72.0662,43.41,100,90,2.3,light rain,2021-06-21 16:53:48
548,Thessalon,CA,46.2501,-83.5666,61.09,80,90,17.72,overcast clouds,2021-06-21 16:53:48
549,Maceio,BR,-9.6658,-35.7353,81.84,74,75,10.36,broken clouds,2021-06-21 16:53:49
550,Hare Bay,CA,48.8499,-54.0148,69.19,60,92,7.36,overcast clouds,2021-06-21 16:53:49
551,Kuroiso,JP,36.9667,140.05,61.39,97,84,2.95,broken clouds,2021-06-21 16:53:49
552,Cam Ranh,VN,11.9214,109.1591,84.16,74,20,9.22,few clouds,2021-06-21 16:53:50
553,Beyneu,KZ,45.3167,55.2,94.55,22,29,7.81,scattered clouds,2021-06-21 16:53:50
554,Beatrice,US,40.2681,-96.747,75.72,43,40,8.05,scattered clouds,2021-06-21 16:53:51
555,Kindu,CD,-2.95,25.95,76.19,71,93,5.1,light rain,2021-06-21 16:53:51
556,Noshiro,JP,40.2039,140.0242,58.41,90,8,6.42,clear sky,2021-06-21 16:53:51
557,Belaya Gora,RU,68.5333,146.4167,59.7,47,5,7.65,clear sky,2021-06-21 16:53:52
558,Port Macquarie,AU,-31.4333,152.9167,51.89,87,89,8.79,overcast clouds,2021-06-21 16:53:52
559,Abomsa,ET,9.9833,39.9833,82.27,28,4,2.75,clear sky,2021-06-21 16:53:52
560,Russell,US,32.3502,-85.1999,84.11,65,75,8.05,broken clouds,2021-06-21 16:53:53
561,Dana Point,US,33.467,-117.6981,83.73,77,54,3.0,broken clouds,2021-06-21 16:53:53
562,Muravlenko,RU,63.7898,74.523,48.29,57,96,10.78,overcast clouds,2021-06-21 16:53:54
563,Havre-Saint-Pierre,CA,50.2334,-63.5986,70.16,64,1,6.91,clear sky,2021-06-21 16:53:54
564,Port Blair,IN,11.6667,92.75,83.01,78,98,14.85,overcast clouds,2021-06-21 16:53:54
565,Yabrud,SY,33.9674,36.6574,71.26,45,0,2.77,clear sky,2021-06-21 16:53:55
566,Strezhevoy,RU,60.7333,77.5889,49.98,77,96,6.91,overcast clouds,2021-06-21 16:53:55
567,Krasnovishersk,RU,60.4078,57.082,52.48,89,94,3.85,overcast clouds,2021-06-21 16:53:56
568,High Level,CA,58.5169,-117.136,64.51,63,75,4.61,broken clouds,2021-06-21 16:53:56
569,Nizhniy Kuranakh,RU,58.8353,125.4869,59.18,96,91,3.24,overcast clouds,2021-06-21 16:53:56
570,Baherden,TM,38.4362,57.4316,84.63,11,0,6.44,clear sky,2021-06-21 16:53:57
571,Yazman,PK,29.1212,71.7446,91.36,37,18,16.89,few clouds,2021-06-21 16:53:57
572,Hofn,IS,64.2539,-15.2082,46.42,81,40,20.71,scattered clouds,2021-06-21 16:53:57
573,Hendek,TR,40.7994,30.7481,67.1,92,95,2.64,overcast clouds,2021-06-21 16:53:58
574,Dunedin,NZ,-45.8742,170.5036,46.8,78,100,11.99,overcast clouds,2021-06-21 16:53:58
575,Annau,TM,37.8876,58.516,87.3,11,0,6.91,clear sky,2021-06-21 16:53:59
576,Redcliffe,AU,-27.2307,153.0973,56.89,86,0,10.36,clear sky,2021-06-21 16:53:59
577,Winslow,US,35.0242,-110.6974,91.96,11,1,1.99,clear sky,2021-06-21 16:53:59
578,Auki,SB,-8.7676,160.7034,76.68,88,49,3.91,scattered clouds,2021-06-21 16:54:00
