City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
235,Jagdalpur,IN,2021-06-25 16:03:28,19.0667,82.0333,74.44,90,92,4.65
236,Myitkyina,MM,2021-06-25 16:03:28,25.3833,97.4,75.87,98,98,0.78
237,Skibbereen,IE,2021-06-25 16:03:28,51.55,-9.2667,58.8,57,13,12.77
238,Quang Ngai,VN,2021-06-25 16:01:55,15.1167,108.8,78.98,87,100,4.52
239,Kysyl-Syr,RU,2021-06-25 16:03:29,63.8986,122.7617,60.06,95,21,1.3
240,Feira De Santana,BR,2021-06-25 16:03:29,-12.2667,-38.9667,78.03,54,67,9.62
241,Belmonte,BR,2021-06-25 16:03:30,-15.8631,-38.8828,79.3,51,10,7.76
242,Iqaluit,CA,2021-06-25 16:03:30,63.7506,-68.5145,38.93,75,90,13.0
243,Anloga,GH,2021-06-25 16:03:31,5.7947,0.8973,80.15,78,100,16.06
244,Kahului,US,2021-06-25 16:03:31,20.8947,-156.47,76.84,78,97,3.0
245,Cherskiy,RU,2021-06-25 16:03:31,68.75,161.3,48.13,62,92,5.39
246,Tura,IN,2021-06-25 16:03:32,25.5198,90.2201,74.7,95,10,4.83
247,Derzhavinsk,KZ,2021-06-25 16:03:32,51.1,66.3167,63.03,49,100,7.94
248,Yulara,AU,2021-06-25 16:03:33,-25.2406,130.9889,46.13,61,0,9.82
249,Boizenburg,DE,2021-06-25 16:03:33,53.3833,10.7167,74.14,49,83,1.72
250,Torbay,CA,2021-06-25 16:03:23,47.6666,-52.7314,75.88,50,2,5.41
251,Kharan,PK,2021-06-25 16:03:33,28.5833,65.4167,93.47,5,0,10.2
252,Letlhakane,BW,2021-06-25 16:03:34,-21.4167,25.5833,65.62,32,0,6.93
253,Otjimbingwe,NA,2021-06-25 16:03:34,-22.35,16.1333,74.03,21,0,7.96
254,Biak,ID,2021-06-25 16:03:35,-0.9131,122.8766,76.98,82,38,4.12
255,Makakilo City,US,2021-06-25 16:03:35,21.3469,-158.0858,70.29,83,68,5.1
256,Mogadishu,SO,2021-06-25 16:02:54,2.0371,45.3438,77.54,81,55,18.5
257,Fairbanks,US,2021-06-25 16:03:36,64.8378,-147.7164,63.09,66,51,1.01
258,Jiayuguan,CN,2021-06-25 16:03:36,39.8167,98.3,75.67,17,99,5.59
259,Cabo San Lucas,MX,2021-06-25 15:59:24,22.8909,-109.9124,88.61,72,50,7.67
260,Anadyr,RU,2021-06-25 16:03:37,64.75,177.4833,50.0,57,23,4.0
261,Tiksi,RU,2021-06-25 16:03:37,71.6872,128.8694,55.81,54,74,6.31
262,Mangai,CD,2021-06-25 16:03:37,-4.05,19.5333,89.11,38,48,2.91
263,Praia Da Vitoria,PT,2021-06-25 16:03:38,38.7333,-27.0667,72.75,82,8,8.19
264,North Myrtle Beach,US,2021-06-25 16:03:38,33.816,-78.68,86.13,78,20,8.01
265,Grindavik,IS,2021-06-25 16:03:39,63.8424,-22.4338,50.56,93,90,29.93
266,Rumphi,MW,2021-06-25 16:03:39,-11.0186,33.8575,61.97,67,8,4.65
267,Douglas,US,2021-06-25 16:01:13,41.3,-96.167,79.99,82,75,3.0
268,Dunedin,NZ,2021-06-25 15:59:33,-45.8742,170.5036,51.8,91,100,2.46
269,Loandjili,CG,2021-06-25 16:03:40,-4.7561,11.8578,75.94,82,45,12.71
270,Saldanha,ZA,2021-06-25 16:03:41,-33.0117,17.9442,59.92,79,17,24.2
271,Pevek,RU,2021-06-25 16:03:41,69.7008,170.3133,32.63,85,4,2.48
272,Jamestown,US,2021-06-25 15:58:52,42.097,-79.2353,80.19,57,100,13.0
273,Pauini,BR,2021-06-25 16:03:42,-7.7136,-66.9764,92.32,39,2,0.63
274,Namatanai,PG,2021-06-25 16:03:42,-3.6667,152.4333,79.05,81,81,6.42
275,Abilene,US,2021-06-25 16:03:42,32.4487,-99.7331,86.49,59,1,4.0
276,Chateauroux,FR,2021-06-25 16:03:28,46.8167,1.7,72.55,46,0,8.05
277,Buchanan,LR,2021-06-25 16:03:43,5.8808,-10.0467,80.56,78,95,9.01
278,Coxim,BR,2021-06-25 16:03:43,-18.5067,-54.76,92.7,23,59,5.12
279,Araure,VE,2021-06-25 16:03:44,9.5601,-69.2148,80.71,80,99,3.06
280,Kruisfontein,ZA,2021-06-25 16:03:44,-34.0033,24.7314,55.45,70,16,6.2
